Year,Growth Rate,Population Change,Median Age,Fertility Rate,Urban Population %
2024,0.87 %,"70,237,642",30.6,2.25,55
210,"46,535",0.73 %,337,49,950,176,1.452,39,78.9 %,0 %
211,"44,278",-1.92 %,-865,96,460,"-1,097",2.324,37,N.A.,0 %
212,"43,350",1.41 %,601,"1,275",34,558,1.44,42,100 %,0 %
213,"39,870",0.69 %,272,249,160,206,1.537,44,14.6 %,0 %
214,"39,471",1.25 %,486,263,150,212,1.048,38,43 %,0 %
215,"39,329",2.23 %,858,"3,933",10,598,1.885,39,90.1 %,0 %
216,"38,631",-0.83 %,-325,"25,927",1,110,2.102,54,N.A.,0 %
217,"37,548",-3.29 %,"-1,279",209,180,"-1,765",2.864,21,N.A.,0 %
218,"33,581",-0.45 %,-152,560,60,37,1.158,48,99.8 %,0 %
219,"30,675",2.6 %,777,94,328,685,1.463,40,66.5 %,0 %
220,"26,129",-5.04 %,"-1,386",493,53,"-1,424",2.673,41,0 %,0 %
221,"17,695",-0.18 %,-32,38,460,-14,1.883,38,N.A.,0 %
222,"14,598",1.3 %,188,162,90,109,1.358,38,N.A.,0 %
223,"13,729",-3.47 %,-493,57,240,-505,2.021,36,98.3 %,0 %
224,"11,947",0.61 %,72,597,20,-121,3.29,20,94.5 %,0 %
225,"11,277",-0.82 %,-93,81,140,-93,1.405,38,0 %,0 %
226,"11,258",1.56 %,173,536,21,180,0.815,39,0 %,0 %
227,"9,646",-1.73 %,-170,322,30,-280,3.174,24,83 %,0 %
228,"5,628",-0.93 %,-53,24,230,-2,1.273,47,N.A.,0 %
229,"5,237",-0.98 %,-52,13,390,4,1.639,51,32.9 %,0 %
230,"4,389",-0.7 %,-31,44,100,-7,1.447,42,11.3 %,0 %
231,"3,470",-0.2 %,-7,0,"12,170",-13,1.694,42,67.7 %,0 %
232,"2,506",4.55 %,109,251,10,72,2.599,27,0 %,0 %
233,"1,819",0.11 %,2,7,260,10,2.488,36,44 %,0 %
234,496,0 %,0,"1,240",0,18,1,59,N.A.,0 %
